Pack ID / Elevation(s) / Pack-Option Name,Pack ID / Elevation(s) / Pack-Option Name Cleaned,Shipping Order/ Pack Number,Elevation,Option,Option/Phase Number,ItemNo,Type,,,Spill Formulas,,,,,,,,,,,ItemNo,Type
|18.82 OPT DEN SUBFLOOR,|18.82 OPT DEN SUBFLOOR,2,,,,4085,Lumber,,,|18.82 OPT DEN SUBFLOOR,,,,,|18.82 OPT DEN SUBFLOOR,,,,|18,.82 OPT DEN SUBFLOOR,4085,Lumber
|18.82BCD OPT DEN SUBFLOOR - ELVB - ELVC - ELVD,|18.82 OPT DEN SUBFLOOR,2,"B, C, D",,"ELVB, ELVC, ELVD",4085,Lumber,,,|18.82BCD OPT DEN SUBFLOOR,ELVB,ELVC,ELVD,,|18.82BCD OPT DEN SUBFLOOR,,,,|18,.82BCD OPT DEN SUBFLOOR,4085,Lumber
|18.83BCD OPT DEN  W/FULL BATH SUBFLOOR - ELVB - ELVC - ELVD,|18.83 OPT DEN W/FULL BATH SUBFLOOR,2,"B, C, D",,"ELVB, ELVC, ELVD",4085,Lumber,,,|18.83BCD OPT DEN W/FULL BATH SUBFLOOR,ELVB,ELVC,ELVD,,|18.83BCD OPT DEN W/FULL BATH SUBFLOOR,,,,|18,.83BCD OPT DEN W/FULL BATH SUBFLOOR,4085,Lumber
|18BCD MAIN SUBFLOOR - ELVB - ELVC - ELVD,|18 MAIN SUBFLOOR,2,"B, C, D",,"ELVB, ELVC, ELVD",4085,Lumber,,,|18 MAIN SUBFLOOR,ELVB,ELVC,ELVD,,|18 MAIN SUBFLOOR,,,,|18,MAIN SUBFLOOR,4085,Lumber
|20 MAIN FLOOR WALLS,|20 MAIN FLOOR WALLS,3,,,,4085,Lumber,,,|20 MAIN FLOOR WALLS,,,,,|20 MAIN FLOOR WALLS,,,,|20,MAIN FLOOR WALLS,4085,Lumber
|20.01 OPT DBL-SIDED FIREPLACE,|20.01 OPT DBL,3,,SIDED FIREPLACE,SIDED FIREPLACE,4085,Lumber,,,|20.01 OPT DBL,SIDED FIREPLACE,,,,|20.01 OPT DBL,,,,|20,.01 OPT DBL,4085,Lumber
|20.02 OPT GREAT ROOM WINDOWS- WDWGREAT,|20.02 OPT GREAT ROOM WINDOWS,3,,WDWGREAT,WDWGREAT,4085,Lumber,,,|20.02 OPT GREAT ROOM WINDOWS,WDWGREAT,,,,|20.02 OPT GREAT ROOM WINDOWS,,,,|20,.02 OPT GREAT ROOM WINDOWS,4085,Lumber
|20.02a OPT ALT GREAT ROOM WINDOWS W/ FIREPLACE - WDWGRALT,|20.02a OPT ALT GREAT ROOM WINDOWS W/ FIREPLACE,3,,WDWGRALT,WDWGRALT,4085,Lumber,,,|20.02a OPT ALT GREAT ROOM WINDOWS W/ FIREPLACE,WDWGRALT,,,,|20.02a OPT ALT GREAT ROOM WINDOWS W/ FIREPLACE,,,,|20,.02a OPT ALT GREAT ROOM WINDOWS W/ FIREPLACE,4085,Lumber
|20.02x OPT GREAT ROOM WINDOW(S) @ EXT GRT RM - WDWGRTX,|20.02x OPT GREAT ROOM WINDOW(S) @ EXT GRT RM,3,,WDWGRTX,WDWGRTX,4085,Lumber,,,|20.02x OPT GREAT ROOM WINDOW(S) @ EXT GRT RM,WDWGRTX,,,,|20.02x OPT GREAT ROOM WINDOW(S) @ EXT GRT RM,,,,|20,.02x OPT GREAT ROOM WINDOW(S) @ EXT GRT RM,4085,Lumber
|20.06 OPT FLEX WINDOW,|20.06 OPT FLEX WINDOW,3,,,,4085,Lumber,,,|20.06 OPT FLEX WINDOW,,,,,|20.06 OPT FLEX WINDOW,,,,|20,.06 OPT FLEX WINDOW,4085,Lumber
|20.12 OPT CENTER MEET DOOR - MSLIDE1,|20.12 OPT CENTER MEET DOOR,3,,MSLIDE1,MSLIDE1,4085,Lumber,,,|20.12 OPT CENTER MEET DOOR,MSLIDE1,,,,|20.12 OPT CENTER MEET DOOR,,,,|20,.12 OPT CENTER MEET DOOR,4085,Lumber
