Pack ID / Elevation(s) / Pack-Option Name Cleaned,Shipping Order/ Pack Number,Elevation Letter Combined,Option,Elevation/Option Combined,Elevation/ Option 1,Elevation/ Option 2,Elevation/ Option 3,Plan#,,,ItemNo,Type,,Final Code
|22.40 OPT 4 CAR GARAGE TANDEM WALLS  ,3,A,4CARTA,4CARTA,4CARTA,,,XXXX,22.40,OPT 4 CAR GARAGE TANDEM WALLS  ,1000,Framing,,XXXX-22.4-1000
|22.40 OPT 4 CAR GARAGE TANDEM WALLS  ,3,"B, C","3CARTB, 3CARTC","3CARTB, 3CARTC",3CARTB,3CARTC,,XXXX,22.40,OPT 4 CAR GARAGE TANDEM WALLS  ,1000,Framing,,XXXX-22.4-1000
|22.4x OPT 2 CAR GARAGE 4' EXT WALLS ,3,,2CAR4XA,2CAR4XA,2CAR4XA,,,XXXX,22.4x,OPT 2 CAR GARAGE 4' EXT WALLS ,1000,Framing,,XXXX-22.4x-1000
|22.4x OPT 2 CAR GARAGE 4' EXT WALLS ,3,,2CAR4XB,2CAR4XB,2CAR4XB,,,XXXX,22.4x,OPT 2 CAR GARAGE 4' EXT WALLS ,1000,Framing,,XXXX-22.4x-1000
|22.4x OPT 2 CAR GARAGE 4' EXT WALLS ,3,,2CAR4XC,2CAR4XC,2CAR4XC,,,XXXX,22.4x,OPT 2 CAR GARAGE 4' EXT WALLS ,1000,Framing,,XXXX-22.4x-1000
|22.2x OPT EXTENDED GARAGE WALLS    ,3,,GAREXT2,GAREXT2,GAREXT2,,,XXXX,22.2x,OPT EXTENDED GARAGE WALLS    ,1000,Framing,,XXXX-22.2x-1000
|22.2x OPT EXTENDED GARAGE WALLS    ,3,,"OPTI PLATE, GAREXT2","OPTI PLATE, GAREXT2",OPTI PLATE,GAREXT2,,XXXX,22.2x,OPT EXTENDED GARAGE WALLS    ,1000,Framing,,XXXX-22.2x-1000
|22.4x OPT 2 CAR GARAGE 4' EXT WALLS ,3,"A, B, C","2CAR4XA, 2CAR4XB, 2CAR4XC","2CAR4XA, 2CAR4XB, 2CAR4XC",2CAR4XA,2CAR4XB,2CAR4XC,XXXX,22.4x,OPT 2 CAR GARAGE 4' EXT WALLS ,1000,Framing,,XXXX-22.4x-1000
|22.5x OPT 2 CAR GARAGE 5' EXT WALLS ,3,"A, B","2CAR5XA, 2CAR5XB","ELVA, ELVB, 2CAR5XA, 2CAR5XB",ELVA,ELVB,2CAR5XA,XXXX,22.5x,OPT 2 CAR GARAGE 5' EXT WALLS ,1000,Framing,,XXXX-22.5x-1000
|22.5x OPT 2 CAR GARAGE 5' EXT WALLS ,3,C,2CAR5XC,"ELVC, 2CAR5XC",ELVC,2CAR5XC,,XXXX,22.5x,OPT 2 CAR GARAGE 5' EXT WALLS ,1000,Framing,,XXXX-22.5x-1000
|22.00 3RD CAR GARAGE WALLS    ,3,"B, C",,,,,,XXXX,22.00,3RD CAR GARAGE WALLS    ,1000,Framing,,XXXX-22-1000
|22.00 3RD CAR GARAGE WALLS    ,3,"B, C, D",,,,,,XXXX,22.00,3RD CAR GARAGE WALLS    ,1000,Framing,,XXXX-22-1000
|22.00 3RD CAR GARAGE WALLS    ,3,D,,,,,,XXXX,22.00,3RD CAR GARAGE WALLS    ,1000,Framing,,XXXX-22-1000
|23.00 COVERED PATIO      ,3,,COVP,COVP,COVP,,,XXXX,23.00,COVERED PATIO      ,1000,Framing,,XXXX-23-1000
|23.10 COVERED PATIO      ,3,,COVP,COVP,COVP,,,XXXX,23.10,COVERED PATIO      ,1000,Framing,,XXXX-23.1-1000
|23.20 COVERED PATIO 2     ,3,,,,,,,XXXX,23.20,COVERED PATIO 2     ,1000,Framing,,XXXX-23.2-1000
